instance,best,avg,time
gpu,0.432037,0.7426539,0.0029845
CyberShake_30_gpu,6.08692,7.04015,0.0726511
CyberShake_50_gpu,0.97306,1.0391039999999998,0.1937641
CyberShake_100_gpu,2.91513,3.6364149999999995,1.257696
Epigenomics_24_gpu,0.423077,0.462991,0.0357123
Epigenomics_46_gpu,0.211611,0.2400208,0.12242489999999999
Epigenomics_100_gpu,0.464451,0.5377107000000001,0.9619472
Montage_25_gpu,2.2637,2.807208,0.0403775
Montage_50_gpu,0.529592,0.5887074,0.1842784
Montage_100_gpu,1.72935,1.908197,1.1597860000000002
Inspiral_30_gpu,0.305247,0.35799099999999995,0.0574763
Inspiral_50_gpu,0.112062,0.12952929999999999,0.19083480000000003
Inspiral_100_gpu,0.179829,0.1886708,0.9148578
Sipht_30_gpu,0.235174,0.2465843,0.9520160000000001
Sipht_60_gpu,0.195575,0.22234160000000003,2.6643790000000003
Sipht_100_gpu,0.282678,0.28870169999999995,7.286712
