instance,best,avg,time
gpu,0.432037,0.4320370000000001,0.0053875
CyberShake_30_gpu,1.26811,1.26811,0.05991240000000001
CyberShake_50_gpu,1.2948,1.2948000000000002,0.18560119999999997
CyberShake_100_gpu,3.63887,3.63887,0.7167049000000001
Epigenomics_24_gpu,0.442976,0.4429759999999999,0.0424987
Epigenomics_46_gpu,0.149502,0.149502,0.1385299
Epigenomics_100_gpu,0.414908,0.41490799999999994,1.191172
Montage_25_gpu,1.19231,1.1923099999999998,0.034002899999999996
Montage_50_gpu,0.446713,0.446713,0.2122715
Montage_100_gpu,0.95267,0.95267,1.078367
Inspiral_30_gpu,0.130277,0.130277,0.08346239999999999
Inspiral_50_gpu,0.100168,0.10016800000000001,0.2537431
Inspiral_100_gpu,0.126135,0.12613500000000002,0.8387524
Sipht_30_gpu,0.22643,0.22643,0.7609686
Sipht_60_gpu,0.22173,0.22173000000000004,2.794823
Sipht_100_gpu,0.270702,0.270702,7.042621
