instance,best,avg,time
gpu,0.59405,1.3516244,0.0030725
CyberShake_30_gpu,12.3998,14.630100000000002,0.062197999999999996
CyberShake_50_gpu,2.50712,2.7545390000000003,0.1812474
CyberShake_100_gpu,5.89359,6.667719000000001,0.9220532
Epigenomics_24_gpu,0.572608,0.6222498,0.0307662
Epigenomics_46_gpu,0.666463,0.8360461000000001,0.11039000000000002
Epigenomics_100_gpu,1.08251,1.1470150000000001,0.7723801
Montage_25_gpu,4.43208,4.951999,0.0339584
Montage_50_gpu,1.59973,2.0710379999999997,0.15060700000000002
Montage_100_gpu,2.9081,3.165158,0.7972771
Inspiral_30_gpu,0.726567,1.014529,0.049237
Inspiral_50_gpu,0.294309,0.3288212,0.1415447
Inspiral_100_gpu,0.792498,0.9436517,0.5965176
Sipht_30_gpu,0.328801,0.5082315,0.4198969
Sipht_60_gpu,0.272128,0.3113921,1.5138120000000002
Sipht_100_gpu,0.359888,0.5851343,4.320545
