instance,best,avg,time
gpu,0.432037,0.4320370000000001,0.0044005
CyberShake_30_gpu,1.26811,1.26811,0.0613624
CyberShake_50_gpu,0.959731,0.9615704999999999,0.16293110000000002
CyberShake_100_gpu,1.38749,1.391668,0.7806519000000001
Epigenomics_24_gpu,0.428933,0.4308263,0.040672
Epigenomics_46_gpu,0.149382,0.149607,0.13684570000000001
Epigenomics_100_gpu,0.415105,0.4163757,1.1951610000000001
Montage_25_gpu,1.19231,1.1923099999999998,0.0364293
Montage_50_gpu,0.400695,0.4171265,0.24822929999999999
Montage_100_gpu,0.952249,0.9523818000000001,0.9108578000000002
Inspiral_30_gpu,0.130277,0.130277,0.069292
Inspiral_50_gpu,0.098377,0.09881552,0.2099112
Inspiral_100_gpu,0.125616,0.1256949,0.8404594
Sipht_30_gpu,0.225053,0.22522640000000002,0.8018225999999998
Sipht_60_gpu,0.220361,0.2204898,2.569204
Sipht_100_gpu,0.24702,0.2499906,7.089270999999999
