instance,best,avg,time
gpu,0.432037,0.7398629000000001,0.0066993
CyberShake_30_gpu,6.79045,9.893739,0.09569720000000001
CyberShake_50_gpu,1.08742,1.381615,0.2879848
CyberShake_100_gpu,4.262,4.70053,1.381666
Epigenomics_24_gpu,0.426935,0.48640910000000004,0.051686699999999995
Epigenomics_46_gpu,0.276999,0.3316859,0.1812183
Epigenomics_100_gpu,0.58591,0.6327674,1.4535639999999999
Montage_25_gpu,2.88666,3.384098999999999,0.0598414
Montage_50_gpu,0.672583,0.7977226000000001,0.2583608
Montage_100_gpu,2.18656,2.631206,1.463346
Inspiral_30_gpu,0.414227,0.5211005,0.0938898
Inspiral_50_gpu,0.144331,0.1952343,0.23913589999999996
Inspiral_100_gpu,0.213516,0.22755990000000006,0.8822248
Sipht_30_gpu,0.2361,0.2541973,0.4866836
Sipht_60_gpu,0.222758,0.23409579999999997,1.705501
Sipht_100_gpu,0.311827,0.3234344,4.7582889999999995
