instance,best,avg,time
gpu,0.432037,0.4320370000000001,0.0029545
CyberShake_30_gpu,1.60268,3.1628,0.06767310000000001
CyberShake_50_gpu,0.775041,0.7914006,0.14412899999999998
CyberShake_100_gpu,1.61386,1.9278549999999999,0.8312565999999999
Epigenomics_24_gpu,0.410396,0.41807929999999993,0.036086400000000005
Epigenomics_46_gpu,0.150701,0.15211769999999997,0.1208276
Epigenomics_100_gpu,0.416871,0.42830250000000003,0.9627295
Montage_25_gpu,1.19231,1.1933059999999998,0.037838
Montage_50_gpu,0.409104,0.42779550000000005,0.1963013
Montage_100_gpu,0.966735,1.1118557,0.9825642000000002
Inspiral_30_gpu,0.135352,0.1390303,0.05512859999999999
Inspiral_50_gpu,0.0985576,0.10037909,0.166966
Inspiral_100_gpu,0.133541,0.1363599,0.733554
Sipht_30_gpu,0.217568,0.2185285,0.6310717
Sipht_60_gpu,0.204099,0.2095876,2.076353
Sipht_100_gpu,0.253185,0.26416049999999996,5.817880000000001
