instance,best,avg,time
gpu,0.59405,0.9623343999999999,0.0029968
CyberShake_30_gpu,8.3218,10.666091000000002,0.0617618
CyberShake_50_gpu,1.36336,1.778553,0.18431189999999997
CyberShake_100_gpu,4.35694,5.488802,0.8718543000000001
Epigenomics_24_gpu,0.486119,0.5078476000000001,0.0318006
Epigenomics_46_gpu,0.329703,0.4765086,0.11336280000000001
Epigenomics_100_gpu,0.703358,0.775466,0.7976522000000001
Montage_25_gpu,2.72873,3.828487,0.03425009999999999
Montage_50_gpu,0.848328,1.4172058,0.15917940000000003
Montage_100_gpu,2.26995,2.5884110000000002,0.8828866
Inspiral_30_gpu,0.521227,0.6442239999999998,0.04865
Inspiral_50_gpu,0.200924,0.2215793,0.14689820000000003
Inspiral_100_gpu,0.263662,0.3069082,0.6187893
Sipht_30_gpu,0.238719,0.2797743,0.4530518
Sipht_60_gpu,0.235934,0.25100639999999996,1.621998
Sipht_100_gpu,0.288786,0.3273351,4.607584999999999
